编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,据图判断，该地	北京时间16时地面吸收的太阳热量最大,None,7,,6,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京 时间 16时 地面 吸收 的 太阳 热量 最 大,P NN VV PU DT NN term time NN VV DEC NN NN AD VA,,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,0_6-7 1_13,0_6-7 1_13,时间限定 最值,时间限定 最值,7,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,P NN NN PU DT NN term time NN VV DEC NN NN AD VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 北京时间))) (CP (IP (NP (NT 16时)) (NP (NN 地面)) (VP (VV 吸收))) (DEC 的)) (NP (NN 太阳) (NN 热量))) (VP (ADVP (AD 最)) (VP (VA 大)))) )
13-⑤,台湾岛水资源甲、乙两项损失占降水量的80%以上，其自然原因是	植被覆盖率高，河流含沙量小,y,,0,18,11,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 植被 覆盖率 高 ， 河流 含沙量 小,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 植被 覆盖率 高 ， 河流 含沙量 小,loc NN NN PU NN CD M NN VV NN DEG num LC PU PN NN NN VC term NN VA PU NN NN VA,,因果_0（台湾岛植被覆盖率高河流含沙量小，台湾岛水资源甲、乙两项损失占降水量的80%以上）,因果_0（实体信息陈述_1（台湾岛，植被覆盖率，高）实体信息陈述_2（台湾岛，河流含沙量，小），台湾岛水资源甲、乙两项损失占降水量的80%以上）,0_16,0_16,因果,因果 实体信息陈述,,,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 植被 覆盖率 高 ， 河流 含沙量 小,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 植被 覆盖率 高 ， 河流 含沙量 小,loc NN NN NN PU VV CD M NN VV NN DEG num LC PU PN NN NN VC term NN VA PU NN NN VA,( (IP (IP (NP (NP (NR 台湾岛)) (NP (NN 水资源) (NN 甲) (PU 、) (NN 乙)) (QP (CD 两) (CLP (M 项))) (NP (NN 损失))) (VP (VV 占) (LCP (QP (DNP (NP (NN 降水量)) (DEG 的)) (QP (CD 80%))) (LC 以上)))) (PU ，) (IP (NP (NP (PN 其)) (NP (NN 自然) (NN 原因))) (VP (VC 是) (IP (IP (NP (NN 植被) (NN 覆盖率)) (VP (VA 高))) (PU ，) (IP (NP (NN 河流) (NN 含沙量)) (VP (VA 小))))))) )
13-⑤-0,台湾岛水资源甲、乙两项损失占降水量的80%以上，其自然原因是	植被覆盖率高,ed-ori,,0,18,11,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 植被 覆盖率 高,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 植被 覆盖率 高,loc NN NN PU NN CD M NN VV NN DEG num LC PU PN NN NN VC term NN VA,,因果_0（台湾岛植被覆盖率高，台湾岛水资源甲、乙两项损失占降水量的80%以上）,因果_0（实体信息陈述_1（台湾岛，植被覆盖率，高），台湾岛水资源甲、乙两项损失占降水量的80%以上）,0_16,0_16,因果,因果 实体信息陈述,,,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 植被 覆盖率 高,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 植被 覆盖率 高,loc NN NN NN PU VV CD M NN VV NN DEG num LC PU PN NN NN VC term NN VA,( (IP (IP (NP (NP (NR 台湾岛)) (NP (NN 水资源) (NN 甲) (PU 、) (NN 乙)) (QP (CD 两) (CLP (M 项))) (NP (NN 损失))) (VP (VV 占) (LCP (QP (DNP (NP (NN 降水量)) (DEG 的)) (QP (CD 80%))) (LC 以上)))) (PU ，) (IP (NP (NP (PN 其)) (NP (NN 自然) (NN 原因))) (VP (VC 是) (IP (NP (NN 植被) (NN 覆盖率)) (VP (VA 高)))))) )
13-⑤-1,台湾岛水资源甲、乙两项损失占降水量的80%以上，其自然原因是	河流含沙量小,ed-ori,,0,,11,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 河流 含沙量 小,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 河流 含沙量 小,loc NN NN PU NN CD M NN VV NN DEG num LC PU PN NN NN VC NN NN VA,,因果_0（台湾岛河流含沙量小，台湾岛水资源甲、乙两项损失占降水量的80%以上）,因果_0（实体信息陈述_1（台湾岛，河流含沙量，小），台湾岛水资源甲、乙两项损失占降水量的80%以上）,0_16,0_16,因果,因果 实体信息陈述,,,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 河流 含沙量 小,台湾岛 水资源 甲 、 乙 两 项 损失 占 降水量 的 80% 以上 ， 其 自然 原因 是 河流 含沙量 小,loc NN NN NN PU VV CD M NN VV NN DEG num LC PU PN NN NN VC NN NN VA,( (IP (IP (NP (NP (NR 台湾岛)) (NP (NN 水资源) (NN 甲) (PU 、) (NN 乙)) (QP (CD 两) (CLP (M 项))) (NP (NN 损失))) (VP (VV 占) (LCP (QP (DNP (NP (NN 降水量)) (DEG 的)) (QP (CD 80%))) (LC 以上)))) (PU ，) (IP (NP (NP (PN 其)) (NP (NN 自然) (NN 原因))) (VP (VC 是) (IP (NP (NN 河流) (NN 含沙量)) (VP (VA 小)))))) )
14-A,北京市	春季多大风，雾霾天气增多,y,1,0,,,北京市 春季 多 大风 ， 雾霾 天气 增多,北京市 春季 多 大风 ， 雾霾 天气 增多,loc time AD VV PU NN NN VV,,时间限定_0（春季）实体信息陈述_1（北京市，多，大风）趋势_2（北京市，雾霾天气，#，增多）,时间限定_0（春季）实体信息陈述_1（北京市，多，大风）趋势_2（北京市，雾霾天气，#，增多）,2_7,2_7,时间限定 实体信息陈述 趋势,时间限定 实体信息陈述 趋势,1,,北京市 春季 多 大风 ， 雾霾 天气 增多,北京市 春季 多 大风 ， 雾霾 天气 增多,loc time AD VV PU VV NN VV,( (IP (IP (NP (NR 北京市)) (VP (NP (NT 春季)) (ADVP (AD 多)) (VP (VV 大风)))) (PU ，) (IP (NP (NN 雾霾) (NN 天气)) (VP (VV 增多)))) )
14-A-0,北京市	春季多大风,ed-ori,1,0,,,北京市 春季 多 大风,北京市 春季 多 大风,loc time AD VV,,时间限定_0（春季）实体信息陈述_1（北京市，多，大风）,时间限定_0（春季）实体信息陈述_1（北京市，多，大风）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,1,,北京市 春季 多 大风,北京市 春季 多 大风,loc time JJ NN,( (IP (NP (NR 北京市)) (VP (NP (NT 春季)) (ADVP (AD 多)) (VP (VV 大风)))) )
14-A-1,北京市	春季雾霾天气增多,ed-mod,1,0,,,北京市 春季 雾霾 天气 增多,北京市 春季 雾霾 天气 增多,loc time NN NN VV,,时间限定_0（春季）趋势_1（北京市，雾霭天气，#，增多）,时间限定_0（春季）趋势_1（北京市，雾霭天气，#，增多）,1_4,1_4,时间限定 趋势,时间限定 趋势,1,,北京市 春季 雾霾 天气 增多,北京市 春季 雾霾 天气 增多,loc time VV NN VV,( (IP (NP (NR 北京市)) (NP (NT 春季) (NN 雾霾)) (NP (NN 天气)) (VP (VV 增多))) )
14-B,北京市	夏季降水量大，雾霾天数少,y,1,0,,,北京市 夏季 降水量 大 ， 雾霾 天数 少,北京市 夏季 降水量 大 ， 雾霾 天数 少,loc time NN VA PU NN NN VA,,时间限定_0（夏季）实体信息陈述_1（北京市，降水量，大）实体信息陈述_2（北京市，雾霭天数，少）,时间限定_0（夏季）实体信息陈述_1（北京市，降水量，大）实体信息陈述_2（北京市，雾霭天数，少）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,1,,北京市 夏季 降水量 大 ， 雾霾 天数 少,北京市 夏季 降水量 大 ， 雾霾 天数 少,loc time NN VA PU VV NN VA,( (IP (NP (NR 北京市)) (IP (IP (NP (NT 夏季) (NN 降水量)) (VP (VA 大))) (PU ，) (IP (NP (NN 雾霾) (NN 天数)) (VP (VA 少))))) )
14-B-0,北京市	夏季降水量大,ed-ori,1,0,,,北京市 夏季 降水量 大,北京市 夏季 降水量 大,loc time NN VA,,时间限定_0（夏季）实体信息陈述_1（北京市，降水量，大）,时间限定_0（夏季）实体信息陈述_1（北京市，降水量，大）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,1,,北京市 夏季 降水量 大,北京市 夏季 降水量 大,loc time NN JJ,( (IP (NP (NR 北京市)) (NP (NT 夏季) (NN 降水量)) (VP (VA 大))) )
14-B-1,北京市	夏季雾霾天数少,ed-mod,1,0,,,北京市 夏季 雾霾 天数 少,北京市 夏季 雾霾 天数 少,loc time NN NN VA,,时间限定_0（夏季）实体信息陈述_1（北京市，雾霭天数，少）,时间限定_0（夏季）实体信息陈述_1（北京市，雾霭天数，少）,,,时间限定 实体信息陈述,时间限定 实体信息陈述,1,,北京市 夏季 雾霾 天数 少,北京市 夏季 雾霾 天数 少,loc time VV NN VA,( (IP (NP (NP (NR 北京市)) (NP (NT 夏季) (NN 雾霾) (NN 天数))) (VP (VA 少))) )
14-C,北京市	燃烧煤炭是最主要的污染源,None,,0,,,北京市 燃烧 煤炭 是 最 主要 的 污染源,北京市 燃烧 煤炭 是 最 主要 的 污染源,loc VV NN VC AD VA DEC NN,,最值_0（燃烧煤炭，污染源，主要，北京市）,最值_0（燃烧煤炭，污染源，主要，北京市）,0_4,0_4,最值,最值,,,北京市 燃烧 煤炭 是 最 主要 的 污染 源,北京市 燃烧 煤炭 是 最 主要 的 污染 源,loc VV NN VC AD VA DEC NN NN,( (IP (NP (NR 北京市)) (VP (VV 燃烧) (IP (NP (NN 煤炭)) (VP (VC 是) (NP (CP (IP (VP (ADVP (AD 最)) (VP (VA 主要)))) (DEC 的)) (NP (NN 污染源))))))) )
14-D,北京市	工业发展水平高，污染严重,y,,0,,,北京市 工业 发展 水平 高 ， 污染 严重,北京市 工业 发展 水平 高 ， 污染 严重,loc NN NN NN VA PU NN VA,,实体信息陈述_0（北京市，工业发展水平，高）实体信息陈述_1（北京市，污染，严重）,实体信息陈述_0（北京市，工业发展水平，高）实体信息陈述_1（北京市，污染，严重）,,,实体信息陈述,实体信息陈述,,0,北京市 工业 发展 水平 高 ， 污染 严重,北京市 工业 发展 水平 高 ， 污染 严重,loc NN NN NN VA PU NN VA,( (IP (NP (NP (NR 北京市)) (NP (NN 工业) (NN 发展))) (IP (IP (NP (NN 水平)) (VP (VA 高))) (PU ，) (IP (NP (NN 污染)) (VP (VA 严重))))) )
14-D-0,北京市	工业发展水平高,ed-ori,,0,,,北京市 工业 发展 水平 高,北京市 工业 发展 水平 高,loc NN NN NN VA,,实体信息陈述_0（北京市，工业发展水平，高）,实体信息陈述_0（北京市，工业发展水平，高）,,,实体信息陈述,实体信息陈述,,0,北京市 工业 发展 水平 高,北京市 工业 发展 水平 高,loc NN NN NN VA,( (IP (NP (NP (NR 北京市)) (NP (NN 工业) (NN 发展) (NN 水平))) (VP (VA 高))) )
14-D-1,北京市	污染严重,ed-ori,,0,,,北京市 污染 严重,北京市 污染 严重,loc NN VA,,实体信息陈述_0（北京市，污染，严重）,实体信息陈述_0（北京市，污染，严重）,,,实体信息陈述,实体信息陈述,,0,北京市 污染 严重,北京市 污染 严重,loc NN VA,( (IP (NP (NP (NR 北京市)) (NP (NN 污染))) (VP (VA 严重))) )
15-A,根据图中信息判断，北京市治理PM2.5可采取的主要措施是	人工降雨，减少空气中污染物的数量,y,,6,8,,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 人工 降雨 ， 减少 空气 中 污染物 的 数量,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 人工 降雨 ， 减少 空气 中 污染物 的 数量,P NN LC NN VV PU loc VV term VV VV DEC JJ NN VC JJ NN PU VV NN LC NN DEG NN,,措施_0（北京市治理PM2.5，人工降雨）措施_1（人工降雨，减少空气中污染物的数量）,措施_0（北京市治理PM2.5，人工降雨）措施_1（人工降雨，减少空气中污染物的数量）,0_13 1_13,0_13 1_13,措施,措施,,6,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 人工 降雨 ， 减少 空气 中 污染物 的 数量,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 人工 降雨 ， 减少 空气 中 污染物 的 数量,P NN LC NN VV PU loc NN term VV VV DEC JJ NN VC JJ NN PU VV NN LC NN DEG NN,( (IP (PP (P 根据) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 判断)))) (PU ，) (NP (CP (IP (NP (NR 北京市)) (VP (VP (VV 治理) (NP (NN PM2.5))) (VP (VV 可) (VP (VV 采取))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VP (VC 是) (NP (ADJP (JJ 人工)) (NP (NN 降雨)))) (PU ，) (VP (VV 减少) (NP (DNP (NP (LCP (NP (NN 空气)) (LC 中)) (NP (NN 污染物))) (DEG 的)) (NP (NN 数量)))))) )
15-A-0,根据图中信息判断，北京市治理PM2.5可采取的主要措施是	人工降雨,ed-ori,,6,8,,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 人工 降雨,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 人工 降雨,P NN LC NN VV PU loc VV term VV VV DEC JJ NN VC JJ NN,,措施_0（北京市治理PM2.5，人工降雨）,措施_0（北京市治理PM2.5，人工降雨）,0_13,0_13,措施,措施,,6,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 人工 降雨,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 人工 降雨,P NN LC NN VV PU loc NN term VV VV DEC JJ NN VC JJ NN,( (IP (PP (P 根据) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 判断)))) (PU ，) (NP (CP (IP (NP (NR 北京市)) (VP (VP (VV 治理) (NP (NN PM2.5))) (VP (VV 可) (VP (VV 采取))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (NP (ADJP (JJ 人工)) (NP (NN 降雨))))) )
15-A-1,根据图中信息判断，北京市治理PM2.5可采取的主要措施是	减少空气中污染物的数量,ed-ori,,6,8,,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减少 空气 中 污染物 的 数量,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减少 空气 中 污染物 的 数量,P NN LC NN VV PU loc VV term VV VV DEC JJ NN VC VV NN LC NN DEG NN,,措施_0（北京市治理PM2.5，减少空气中污染物的数量）,措施_0（北京市治理PM2.5，减少空气中污染物的数量）,0_13,0_13,措施,措施,,6,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减少 空气 中 污染物 的 数量,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减少 空气 中 污染物 的 数量,P NN LC NN VV PU loc NN term VV VV DEC JJ NN VC VV NN LC NN DEG NN,( (IP (PP (P 根据) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 判断)))) (PU ，) (NP (CP (IP (NP (NR 北京市)) (VP (VP (VV 治理) (NP (NN PM2.5))) (VP (VV 可) (VP (VV 采取))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (IP (VP (VV 减少) (NP (DNP (NP (LCP (NP (NN 空气)) (LC 中)) (NP (NN 污染物))) (DEG 的)) (NP (NN 数量))))))) )
15-B,根据图中信息判断，北京市治理PM2.5可采取的主要措施是	减小煤炭使用量，缩短冬季供暖时间,y,20,6,8,,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减小 煤炭 使用量 ， 缩短 冬季 供暖 时间,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减小 煤炭 使用量 ， 缩短 冬季 供暖 时间,P NN LC NN VV PU loc VV term VV VV DEC JJ NN VC VV NN NN PU VV time NN NN,,措施_0（北京市治理PM2.5，减小煤炭使用量）措施_1（北京市治理PM2.5，缩短冬季供暖时间）,措施_0（北京市治理PM2.5，减小煤炭使用量）措施_1（北京市治理PM2.5，缩短冬季供暖时间）,0_13 1_13,0_13 1_13,措施,措施,20,6,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减小 煤炭 使用量 ， 缩短 冬季 供暖 时间,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减小 煤炭 使用量 ， 缩短 冬季 供暖 时间,P NN LC NN VV PU loc NN term VV VV DEC JJ NN VC VV NN NN PU VV time NN NN,( (IP (PP (P 根据) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 判断)))) (PU ，) (NP (CP (IP (NP (NR 北京市)) (VP (VP (VV 治理) (NP (NN PM2.5))) (VP (VV 可) (VP (VV 采取))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (IP (VP (VP (VV 减小) (NP (NN 煤炭) (NN 使用量))) (PU ，) (VP (VV 缩短) (NP (NT 冬季) (NN 供暖) (NN 时间))))))) )
15-B-0,根据图中信息判断，北京市治理PM2.5可采取的主要措施是	减小煤炭使用量,ed-ori,,6,8,,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减小 煤炭 使用量,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减小 煤炭 使用量,P NN LC NN VV PU loc VV term VV VV DEC JJ NN VC VV NN NN,,措施_0（北京市治理PM2.5，减小煤炭使用量）,措施_0（北京市治理PM2.5，减小煤炭使用量）,0_13,0_13,措施,措施,,6,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减小 煤炭 使用 量,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 减小 煤炭 使用 量,P NN LC NN VV PU loc NN term VV VV DEC JJ NN VC VV NN VV NN,( (IP (PP (P 根据) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 判断)))) (PU ，) (NP (CP (IP (NP (NR 北京市)) (VP (VP (VV 治理) (NP (NN PM2.5))) (VP (VV 可) (VP (VV 采取))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (VV 减小) (NP (NN 煤炭) (NN 使用量))))) )
15-B-1,根据图中信息判断，北京市治理PM2.5可采取的主要措施是	缩短冬季供暖时间,ed-ori,16,6,8,,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 缩短 冬季 供暖 时间,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 缩短 冬季 供暖 时间,P NN LC NN VV PU loc VV term VV VV DEC JJ NN VC VV time NN NN,,措施_0（北京市治理PM2.5，缩短冬季供暖时间）,措施_0（北京市治理PM2.5，缩短冬季供暖时间）,0_13,0_13,措施,措施,16,6,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 缩短 冬季 供暖 时间,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 缩短 冬季 供暖 时间,P NN LC NN VV PU loc NN term VV VV DEC JJ NN VC VV time NN NN,( (IP (PP (P 根据) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 判断)))) (PU ，) (NP (CP (IP (NP (NR 北京市)) (VP (VP (VV 治理) (NP (NN PM2.5))) (VP (VV 可) (VP (VV 采取))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (VV 缩短) (NP (NT 冬季) (NN 供暖) (NN 时间))))) )
15-C,根据图中信息判断，北京市治理PM2.5可采取的主要措施是	将有污染的工业企业搬迁到周边地区,None,,6,8,,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 将 有 污染 的 工业 企业 搬迁 到 周边 地区,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 将 有 污染 的 工业 企业 搬迁 到 周边 地区,P NN LC NN VV PU loc VV term VV VV DEC JJ NN VC BA VE NN DEC NN NN VV VV NN NN,,措施_0（北京市治理PM2.5，将有污染的工业企业搬迁到周边地区）,措施_0（北京市治理PM2.5，将有污染的工业企业搬迁到周边地区）,0_13,0_13,措施,措施,,6,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 将 有 污染 的 工业 企业 搬迁 到 周边 地区,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 将 有 污染 的 工业 企业 搬迁 到 周边 地区,P NN LC NN VV PU loc NN term VV VV DEC JJ NN VC AD VE NN DEC NN NN VV VV NN NN,( (IP (PP (P 根据) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 判断)))) (PU ，) (NP (CP (IP (NP (NR 北京市)) (VP (VP (VV 治理) (NP (NN PM2.5))) (VP (VV 可) (VP (VV 采取))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (IP (VP (BA 将) (IP (NP (CP (IP (VP (VE 有) (NP (NN 污染)))) (DEC 的)) (NP (NN 工业) (NN 企业))) (VP (VRD (VV 搬迁) (VV 到)) (NP (NN 周边) (NN 地区)))))))) )
15-D,根据图中信息判断，北京市治理PM2.5可采取的主要措施是	大力发展公共交通，减少私家车出行,y,,6,8,,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 大力 发展 公共 交通 ， 减少 私家车 出行,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 大力 发展 公共 交通 ， 减少 私家车 出行,P NN LC NN VV PU loc VV term VV VV DEC JJ NN VC AD VV JJ NN PU VV NN VV,,措施_0（北京市治理PM2.5，大力发展公共交通）措施_1（北京市治理PM2.5，减少私家车出行）,措施_0（北京市治理PM2.5，大力发展公共交通）措施_1（北京市治理PM2.5，减少私家车出行）,0_13 1_13,0_13 1_13,措施,措施,,6,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 大力 发展 公共 交通 ， 减少 私家车 出行,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 大力 发展 公共 交通 ， 减少 私家车 出行,P NN LC NN VV PU loc NN term VV VV DEC JJ NN VC AD VV JJ NN PU VV NN VV,( (IP (PP (P 根据) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 判断)))) (PU ，) (NP (CP (IP (NP (NR 北京市)) (VP (VP (VV 治理) (NP (NN PM2.5))) (VP (VV 可) (VP (VV 采取))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (VP (ADVP (AD 大力)) (VP (VV 发展) (NP (ADJP (JJ 公共)) (NP (NN 交通))))) (PU ，) (VP (VV 减少) (IP (NP (NN 私家车)) (VP (VV 出行))))))) )
15-D-0,根据图中信息判断，北京市治理PM2.5可采取的主要措施是	大力发展公共交通,ed-ori,,6,8,,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 大力 发展 公共 交通,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 大力 发展 公共 交通,P NN LC NN VV PU loc VV term VV VV DEC JJ NN VC AD VV JJ NN,,措施_0（北京市治理PM2.5，大力发展公共交通）,措施_0（北京市治理PM2.5，大力发展公共交通）,0_13,0_13,措施,措施,,6,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 大力 发展 公共 交通,根据 图 中 信息 判断 ， 北京市 治理 PM2.5 可 采取 的 主要 措施 是 大力 发展 公共 交通,P NN LC NN VV PU loc NN term VV VV DEC JJ NN VC AD VV JJ NN,( (IP (PP (P 根据) (IP (NP (LCP (NP (NN 图)) (LC 中)) (NP (NN 信息))) (VP (VV 判断)))) (PU ，) (NP (CP (IP (NP (NR 北京市)) (VP (VP (VV 治理) (NP (NN PM2.5))) (VP (VV 可) (VP (VV 采取))))) (DEC 的)) (ADJP (JJ 主要)) (NP (NN 措施))) (VP (VC 是) (VP (ADVP (AD 大力)) (VP (VV 发展) (NP (ADJP (JJ 公共)) (NP (NN 交通))))))) )
